id,name,category,subcategory,location,status,checked_out_by,checked_out_date,expected_return,description,keywords
MECH-001,Newton's Cradle,Mechanics,Momentum,Cabinet A-1,available,,,,"Classic momentum and energy transfer demonstration with 5 steel balls",momentum collision energy conservation
MECH-002,Gyroscope,Mechanics,Rotational Dynamics,Cabinet A-2,available,,,,"Precision gyroscope for angular momentum and precession demos",angular momentum precession rotation
MECH-003,Atwood's Machine,Mechanics,Newton's Laws,Cabinet A-3,checked_out,Dr. Smith (smith@baylor.edu) - PHY 1420,2026-01-13,2026-01-20,"Pulley system for F=ma demonstrations with adjustable masses",force acceleration pulley newton
MECH-004,Air Track with Gliders,Mechanics,Kinematics,Room 108,available,,,,"Low-friction track for motion and collision experiments",friction velocity acceleration collision
MECH-005,Ballistic Pendulum,Mechanics,Momentum,Cabinet A-4,available,,,,"Measures projectile velocity using conservation of momentum",projectile momentum energy
MECH-006,Rotating Platform,Mechanics,Rotational Dynamics,Room 108,checked_out,Prof. Johnson - PHY 2350,2026-01-10,2026-01-15,"Platform with hand weights for angular momentum conservation",rotation inertia angular momentum
MECH-007,Inclined Plane Set,Mechanics,Forces,Cabinet A-5,available,,,,"Adjustable inclined planes with friction blocks",friction incline force components
MECH-008,Spring Scale Set,Mechanics,Forces,Cabinet A-6,available,,,,"Set of calibrated spring scales for force measurements",force measurement hooke
EM-001,Van de Graaff Generator,E&M,Electrostatics,Room 112,available,,,,"Large Van de Graaff for static electricity demonstrations",static charge electric field high voltage
EM-002,Tesla Coil,E&M,EM Waves,Room 112,available,,,,"Tabletop Tesla coil for wireless energy transfer demos",electromagnetic induction resonance
EM-003,Faraday Cage,E&M,Electrostatics,Room 112,available,,,,"Mesh cage demonstrating electric field shielding",shielding electric field gauss
EM-004,Electromagnet Kit,E&M,Magnetism,Cabinet B-1,available,,,,"Variable electromagnet with iron core and power supply",magnetic field solenoid current
